Producto,Tamaño,Calidad,ID
Bote jalapeños 215,5,1,"5,1"
Bote jalapeños 2800,1,1,"1,1"
Bote jalapeños 380,4,1,"4,1"
Bote jalapeños 380,3,1,"3,1"
Bote jalapeños 780,1,1,"1,1"
Bote jalapeños 780,2,1,"2,1"
Bote rajas verdes 105,5,3,"5,3"
Bote rajas verdes 105,5,4,"5,4"
Bote rajas verdes 215,4,3,"4,3"
Bote rajas verdes 215,5,3,"5,3"
Bote rajas verdes 215,4,4,"4,4"
Bote rajas verdes 215,5,4,"5,4"
Bote rajas verdes 380,4,3,"4,3"
Bote rajas verdes 380,3,3,"3,3"
Bote rajas verdes 380,4,4,"4,4"
Bote rajas verdes 380,3,4,"3,4"
Bote rajas verdes 800,3,3,"3,3"
Bote rajas verdes 800,2,3,"2,3"
Bote rajas verdes 800,3,4,"3,4"
Bote rajas verdes 800,2,4,"2,4"
Bote rajas verdes 2800,1,3,"1,3"
Bote rajas verdes 2800,2,3,"2,3"
Bote rajas verdes 2800,1,4,"1,4"
Bote rajas verdes 2800,2,4,"2,4"
Bote rodajas 2800,1,2,"1,2"
Bote rodajas 2800,2,2,"2,2"
Bote rodajas 800,3,2,"3,2"
Bote rodajas 800,4,2,"4,2"
Bote rodajas 380,5,2,"5,2"
Bote jalapeños en trozos 215,1,3,"1,3"
Bote jalapeños en trozos 215,1,4,"1,4"
Bote jalapeños en trozos 215,2,3,"2,3"
Bote jalapeños en trozos 215,2,4,"2,4"
Bote jalapeños en trozos 215,3,3,"3,3"
Bote jalapeños en trozos 215,3,4,"3,4"
Bote jalapeños en trozos 215,4,3,"4,3"
Bote jalapeños en trozos 215,4,4,"4,4"
Bote jalapeños en trozos 215,5,1,"5,1"
Bote jalapeños en trozos 215,5,2,"5,2"
Bote jalapeños en trozos 215,5,3,"5,3"
Bote jalapeños en trozos 215,5,4,"5,4"
Bote jalapeños en trozos 215,6,1,"6,1"
Bote jalapeños en trozos 215,6,2,"6,2"
Bote jalapeños en trozos 215,6,3,"6,3"
Bote jalapeños en trozos 215,6,4,"6,4"
,,,
