Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Bote jalapeños 215,"21,300.09","22,987.72","23,362.63","5,321.49","16,005.70","41,512.79","14,335.95","7,829.55","20,781.57","26,478.81","27,406.42","14,504.99"
Bote jalapeños 2800,"21,277.09","21,962.19","18,677.03","6,379.45","12,693.48","31,377.73","10,898.39","6,434.88","19,866.73","22,502.35","24,354.14","12,312.36"
Bote jalapeños 380,"9,906.98","9,450.15","11,731.09","4,425.21","9,065.28","18,733.11","6,319.55","3,197.06","8,980.59","14,840.65","15,950.88","7,751.52"
Bote jalapeños 780,"43,069.49","29,147.75","40,994.40","13,653.95","28,894.71","58,072.93","19,076.51","10,626.77","27,378.76","45,186.71","47,315.25","22,636.07"
Bote jalapeños en trozos 215,"2,572.91","2,396.82","4,709.03","1,432.55","4,416.29","5,342.32","1,523.90","1,232.71","2,394.34","2,464.05","4,417.29","1,883.39"
Bote rajas verdes 105,"4,405.04","5,449.90","5,379.51","1,454.90","4,304.76","10,879.74","3,896.22","1,230.46","3,688.53","5,607.60","6,791.06","3,595.86"
Bote rajas verdes 215,"40,086.17","44,913.67","41,001.23","15,293.19","32,808.41","70,310.96","26,563.35","13,094.43","38,727.43","43,454.16","50,346.51","23,928.46"
Bote rajas verdes 2800,"2,892.22","2,279.28","2,353.05",538.76,"1,536.04","4,514.23","1,526.96",763.13,"2,978.70","2,961.54","4,350.24","1,190.86"
Bote rajas verdes 380,"12,396.14","13,136.96","10,307.16","4,157.38","7,142.64","15,688.86","5,627.24","2,809.59","8,612.17","12,996.29","14,906.10","7,760.37"
Bote rajas verdes 800,"8,616.84","10,496.25","18,236.87","5,417.38","11,648.14","19,775.65","6,834.83","3,233.61","19,118.22","17,910.53","18,643.89","7,841.40"
Bote rodajas 2800,"4,202.60","2,482.04","6,940.08","1,152.00","3,947.15","7,902.52","2,308.55","1,282.48","2,561.40","4,363.01","3,813.84","2,238.27"
Bote rodajas 380,"1,049.96",380.04,"1,213.12",200.48,461.7,"4,739.13","1,892.75",885.17,"1,365.69",583.29,"1,213.90",515.56
Bote rodajas 800,393.85,101.87,"2,436.01",279.93,663.93,762.55,281.62,421.21,377.9,273.88,544.41,274.78
