Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Bote jalapeños 215,"26,335.77","24,987.43","27,733.46","21,515.81","22,170.37","31,708.15","37,802.02",35025.1,35121.06,32850.87,32779.3,31428.92
Bote jalapeños 2800,"26,307.33","23,872.69","22,171.24","25,793.37","17,582.44","23,966.83","28,737.60",28786.12,33574.97,27917.48,29128.65,26678
Bote jalapeños 380,"12,249.14","10,272.22","13,925.81","17,891.99","12,556.82","14,308.66","16,663.83",14301.86,15177.29,18412.01,19077.97,16795.73
Bote jalapeños 780,"53,251.81","31,683.32","48,663.89","55,205.55","40,023.65","44,357.06","50,302.24",47538.29,46270.39,56060.78,56591.16,49047.08
Bote jalapeños en trozos 215,"3,181.18","2,605.32","5,590.02","5,792.09","6,117.24","4,080.55","4,018.31",5514.46,4046.45,3057.02,5283.28,4080.87
Bote rajas verdes 105,"5,446.47","5,923.99","6,385.95","5,882.44","5,962.77","8,310.12","10,273.81",5504.39,6233.66,6957.06,8122.41,7791.39
Bote rajas verdes 215,"49,563.18","48,820.72","48,672.00","61,833.33","45,444.72","53,704.67","70,044.04",58577.26,65449.74,53911.29,60216.68,51847.38
Bote rajas verdes 2800,"3,575.99","2,477.56","2,793.27","2,178.31","2,127.65","3,448.05","4,026.39",3413.83,5034.03,3674.23,5203.08,2580.31
Bote rajas verdes 380,"15,326.79","14,279.75","12,235.48","16,809.11","9,893.66","11,983.41","14,838.30",12568.53,14554.66,16123.82,17828.37,16814.9
Bote rajas verdes 800,"10,654.00","11,409.32","21,648.73","21,903.54","16,134.48","15,104.97","18,022.55",14465.39,32309.99,22220.65,22298.93,16990.49
Bote rodajas 2800,"5,196.16","2,697.95","8,238.47","4,657.76","5,467.41","6,036.07","6,087.34",5737.1,4328.79,5412.96,4561.53,4849.81
Bote rodajas 380,"1,298.19",413.1,"1,440.08",810.59,639.53,"3,619.82","4,990.94",3959.74,2308.03,723.66,1451.88,1117.09
Bote rodajas 800,486.96,110.73,"2,891.75","1,131.82",919.65,582.45,742.59,1884.27,638.65,339.79,651.13,595.38
,,,,,,,,,,,,
