Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Bote jalapeños 215,129197,105259,20938,66584,38711,135611,191100,162614,132062,104676,25000,50383
Bote jalapeños 2800,136408,117271,96715,79642,175241,270545,364327,337094,311131,286795,260358,237236
Bote jalapeños en trozos 215,96353,84333,70074,57881,45303,41249,71546,59236,42113,26174,9530,1236
Bote jalapeños 380,81472,39468,4528,43391,105849,169906,175591,138063,10000,38647,9957,36847
Bote jalapeños 780,18120,13295,8679,2739,848,6948,11652,8370,5527,1113,2931,135
Bote rajas verdes 105,25238,19725,15037,9247,11942,31805,54929,49872,43403,36617,28896,24109
Bote rajas verdes 215,66244,24233,25046,69173,51130,74064,235828,182742,132605,82296,30917,12645
Bote rajas verdes 380,16816,14405,12669,10603,19239,27912,36865,32782,29365,25018,22461,19318
Bote rajas verdes 800,38296,27735,14340,4733,23365,74835,83593,71788,56793,41898,25235,11765
Bote rajas verdes 2800,82296,63610,46154,30487,75542,103812,125645,99439,78774,60144,43307,33943
Bote rodajas 2800,10566,3455,258,5567,22021,39256,34695,31184,26150,22339,17533,12966
Bote rodajas 380,206,1037,1683,2304,878,15528,12380,10508,9835,8622,7515,6374
Bote rodajas 800,7424,4928,4026,3133,2621,22902,21404,20886,20570,20026,19436,19008
