Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Bote jalapeños 215,15000,20000,20000,15000,15000,20000,20000,20000,15000,15000,15000,15000
Bote jalapeños 2800,15000,20000,20000,15000,15000,20000,20000,20000,15000,15000,15000,15000
Bote jalapeños en trozos 215,5000,9000,9000,5000,5000,9000,9000,9000,5000,5000,5000,5000
Bote jalapeños 380,8000,12000,12000,8000,8000,12000,12000,12000,8000,8000,8000,8000
Bote jalapeños 780,8000,12000,12000,8000,8000,12000,12000,12000,8000,8000,8000,8000
Bote rajas verdes 105,5000,9000,9000,5000,5000,9000,9000,9000,5000,5000,5000,5000
Bote rajas verdes 215,10000,15000,15000,10000,10000,15000,15000,15000,10000,10000,10000,10000
Bote rajas verdes 380,5000,9000,9000,5000,5000,9000,9000,9000,5000,5000,5000,5000
Bote rajas verdes 800,5000,9000,9000,5000,5000,9000,9000,9000,5000,5000,5000,5000
Bote rajas verdes 2800,1000,2000,2000,1000,1000,2000,2000,2000,1000,1000,1000,1000
Bote rodajas 2800,500,1000,1000,500,500,1000,1000,1000,500,500,500,500
Bote rodajas 380,500,1000,1000,500,500,1000,1000,1000,500,500,500,500
Bote rodajas 800,300,500,500,300,300,500,500,500,300,300,300,300
