Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Bote jalapeños 215,15000,80000,40000,15000,15000,200000,200000,200000,15000,15000,15000,15000
Bote jalapeños 2800,15000,40000,40000,15000,15000,200000,200000,200000,15000,15000,15000,15000
Bote jalapeños en trozos 215,5000,18000,18000,5000,5000,90000,90000,90000,5000,5000,5000,5000
Bote jalapeños 380,8000,24000,24000,8000,8000,120000,120000,120000,8000,8000,8000,8000
Bote jalapeños 780,8000,24000,24000,8000,8000,120000,120000,120000,8000,8000,8000,8000
Bote rajas verdes 105,5000,18000,18000,5000,5000,90000,90000,90000,5000,5000,5000,5000
Bote rajas verdes 215,10000,30000,30000,10000,10000,150000,150000,150000,10000,10000,10000,10000
Bote rajas verdes 380,5000,18000,18000,5000,5000,90000,90000,90000,5000,5000,5000,5000
Bote rajas verdes 800,5000,18000,18000,5000,5000,90000,90000,90000,5000,5000,5000,5000
Bote rajas verdes 2800,1000,4000,4000,1000,1000,20000,20000,20000,1000,1000,1000,1000
Bote rodajas 2800,500,2000,2000,500,500,10000,10000,10000,500,500,500,500
Bote rodajas 380,500,2000,2000,500,500,10000,10000,10000,500,500,500,500
Bote rodajas 800,300,1000,1000,300,300,5000,5000,5000,300,300,300,300
