Codigo Producto,Producto,01/01/23,01/02/23,01/03/23,01/04/23,01/05/23,01/06/23,01/07/23,01/08/23,01/09/23,01/10/23,01/11/23,01/12/23
100005,Bote Jalapeño en trozo BS 215,"1,975","4,500","1,975","3,950","3,950","1,975","1,975","3,950","3,950","1,975","1,975","1,975"
100001,Bote jalapeños 215,"23,147","23,469","23,938","17,147","21,528","27,873","28,100","27,845","28,486","30,551","27,386","31,145"
100003,Bote jalapeños 2800,"23,122","22,422","19,137","20,556","17,073","21,068","21,362","22,885","27,232","25,963","24,336","26,437"
100010,Bote jalapeños 380,"10,766","9,648","12,020","14,259","12,193","12,578","12,387","11,370","12,310","17,123","15,939","16,644"
100011,Bote jalapeños 780,"46,804","29,758","42,004","43,996","38,864","38,992","37,392","37,793","37,529","52,136","47,280","48,604"
100008,Bote jalapeños en trozos 215,"2,796","2,447","4,825","4,616","5,940","3,587","2,987","4,384","3,282","2,843","4,414","4,044"
100014,Bote rajas verdes 105,"4,787","5,564","5,512","4,688","5,790","7,305","7,637","4,376","5,056","6,470","6,786","7,721"
100015,Bote rajas verdes 215,"43,562","45,854","42,011","49,278","44,128","47,209","52,067","46,569","53,085","50,137","50,309","51,379"
100012,Bote rajas verdes 215 - Bajo en sodio,415,0,415,830,830,415,415,830,830,415,415,415
100018,Bote rajas verdes 2800,"3,143","2,327","2,411","1,736","2,066","3,031","2,993","2,714","4,083","3,417","4,347","2,557"
100016,Bote rajas verdes 380,"13,471","13,412","10,561","13,396","9,607","10,534","11,030","9,992","11,805","14,995","14,895","16,663"
100017,Bote rajas verdes 800,"9,364","10,716","18,686","17,456","15,667","13,278","13,397","11,500","26,206","20,665","18,630","16,837"
100027,Bote rodajas 14 oz,447,410,"1,141",411,367,492,545,157,568,"1,065",654,556
100026,Bote rodajas 215 - Bajo en sodio,735,0,"2,600","1,470","1,470",735,735,"1,470","1,470",735,735,735
100023,Bote rodajas 2800,"4,567","2,534","7,111","3,712","5,309","5,306","4,525","4,561","3,511","5,034","3,811","4,806"
100028,Bote rodajas 380,"1,141",388,"1,243",646,621,"3,182","3,710","3,148","1,872",673,"1,213","1,107"
100033,Bote rodajas 800,428,104,"2,496",902,893,512,552,"1,498",518,316,544,590
100032,Frasco rodajas 12 oz,0,144,432,288,432,432,432,432,432,576,"3,456","2,016"
100019,Frasco rodajas 12 oz lit,"2,592","2,448","2,448","2,448","2,448","2,448","2,448","2,448","2,448",0,0,"2,592"
100021,Frasco rodajas 12 oz TD,"7,632","10,000","12,528","12,240","15,120","15,120","15,120","15,120","15,120","12,096","11,952","11,952"
100024,Lata rodajas jalapeños bpa free 6lb 10 Oz,"2,784","5,712","5,328","5,302","5,328","4,272","5,760","4,320","5,904","6,000","12,288","5,376"
